 3.55 4.10181 4.35788 3.955
 3.575 4.12927 4.38506 3.98667
 3.6 4.15642 4.41165 4.01833
 3.625 4.18325 4.43765 4.05
 3.65 4.20976 4.46306 4.08167
 3.675 4.23595 4.48786 4.11333
 3.7 4.26181 4.51205 4.145
 3.725 4.28733 4.53563 4.17667
 3.75 4.3125 4.55859 4.20833
 3.775 4.33732 4.58094 4.23999
 3.8 4.36179 4.60267 4.27157
 3.825 4.3859 4.62377 4.303
 3.85 4.40964 4.64424 4.33422
 3.875 4.433 4.66409 4.36516
 3.9 4.45598 4.68331 4.39576
 3.925 4.47858 4.7019 4.42596
 3.95 4.50079 4.71987 4.4557
 3.975 4.5226 4.73721 4.48493
 4 4.544 4.75392 4.5136
 4.025 4.56499 4.77001 4.54166
 4.05 4.58557 4.78548 4.56907
 4.075 4.60573 4.80032 4.59579
 4.1 4.62546 4.81456 4.62178
 4.125 4.64475 4.82818 4.647
 4.15 4.6636 4.84119 4.67142
 4.175 4.68201 4.85361 4.69501
 4.2 4.69997 4.86543 4.71776
 4.225 4.71747 4.87666 4.73963
 4.25 4.7345 4.88731 4.7606
 4.275 4.75106 4.89738 4.78066
 4.3 4.76715 4.90689 4.7998
 4.325 4.78276 4.91585 4.818
 4.35 4.79788 4.92426 4.83525
 4.375 4.8125 4.93213 4.85156
 4.4 4.82662 4.93948 4.86692
 4.425 4.84024 4.94631 4.88133
 4.45 4.85335 4.95264 4.8948
 4.475 4.86594 4.95849 4.90733
 4.5 4.878 4.96386 4.91893
 4.525 4.88953 4.96877 4.92963
 4.55 4.90053 4.97324 4.93942
 4.575 4.91099 4.97728 4.94835
 4.6 4.9209 4.98092 4.95642
 4.625 4.93025 4.98415 4.96366
 4.65 4.93904 4.98702 4.97011
 4.675 4.94727 4.98953 4.97579
 4.7 4.95493 4.9917 4.98074
 4.725 4.96201 4.99356 4.985
 4.75 4.9685 4.99512 4.9886
 4.775 4.9744 4.99642 4.9916
 4.8 4.97971 4.99747 4.99403
 4.825 4.98442 4.99829 4.99596
 4.85 4.98852 4.99891 4.99743
 4.875 4.992 4.99937 4.9985
 4.9 4.99486 4.99967 4.99922
 4.925 4.9971 4.99986 4.99967
 4.95 4.99871 4.99996 4.9999
 4.975 4.99968 4.99999 4.99999
 5 5 5 5
